3315136 [http-bio-8080-exec-9] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
3384 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========创建当前环节的奖品池...
3389 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========当今环节参与人数：3...
3389 [localhost-startStop-1] INFO  c.a.d.util.DefaultPrizePoolFactory - <<==参与人员：3
3389 [localhost-startStop-1] INFO  c.a.d.util.DefaultPrizePoolFactory - <<==奖品数量：1
3390 [localhost-startStop-1] INFO  c.a.d.util.DefaultPrizePoolFactory - <<==产生的奖品池数量：1
3390 [localhost-startStop-1] INFO  c.a.d.util.DefaultPrizePoolFactory - <<==每个奖池的总的奖品数量（包括空奖品）：60
3390 [localhost-startStop-1] INFO  c.a.d.util.DefaultPrizePoolFactory - <<==奖池DefaultPrizePool--1102182796真实的奖品数量为：1
3391 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========把奖品池加入缓存中...
3392 [localhost-startStop-1] INFO  c.a.d.service.impl.LinkServiceImpl - <<===========初始化环节状态为：INIT...
3539 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3260 ms
3601 [localhost-startStop-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'appServlet': initialization started
3604 [localhost-startStop-1] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'appServlet-servlet': startup date [Mon Jan 11 01:00:47 CST 2016]; parent: Root WebApplicationContext
3605 [localhost-startStop-1] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/appServlet/servlet-context.xml]
3846 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
4132 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/draw/pick]}" onto public com.asiainfo.draw.util.Prize com.asiainfo.draw.controller.DrawController.pick(java.lang.Integer)
4136 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/link/start]}" onto public com.asiainfo.draw.util.DefaultResult com.asiainfo.draw.controller.LinkController.start()
4138 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/participant/auth],methods=[POST]}" onto public com.asiainfo.draw.util.DefaultResult com.asiainfo.draw.controller.ParticipantController.authParticipantByTelphone(java.lang.Integer,java.lang.String)
4139 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/participant/{participantId}]}" onto public com.asiainfo.draw.domain.Participant com.asiainfo.draw.controller.ParticipantController.authParticipantByTelphone(java.lang.Integer)
4926 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Mon Jan 11 01:00:47 CST 2016]; parent: Root WebApplicationContext
5109 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Mon Jan 11 01:00:47 CST 2016]; parent: Root WebApplicationContext
5335 [localhost-startStop-1] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
5546 [localhost-startStop-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'appServlet': initialization completed in 1945 ms
18848 [http-bio-8080-exec-2] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
27624 [http-bio-8080-exec-2] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
28616 [http-bio-8080-exec-2] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
28816 [http-bio-8080-exec-2] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
29001 [http-bio-8080-exec-2] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
29254 [http-bio-8080-exec-2] INFO  c.a.d.service.impl.DrawServiceImpl - <<===========当前环节未开始！
36485 [http-bio-8080-exec-2] INFO  c.a.d.service.impl.LinkServiceImpl - <<========尝试启动新的抽奖环节...
36485 [http-bio-8080-exec-2] INFO  c.a.d.service.impl.LinkServiceImpl - <<=============当前环节状态：{}INIT
36485 [http-bio-8080-exec-2] INFO  c.a.d.service.impl.LinkServiceImpl - <<==========把当前环节的状态设置为：{}RUN
36489 [http-bio-8080-exec-2] INFO  c.a.d.service.impl.LinkServiceImpl - 完成新的环节启动，启动时间：{}Mon Jan 11 01:01:20 CST 2016
43552 [http-bio-8080-exec-2] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
57343 [http-bio-8080-exec-2] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
60094 [http-bio-8080-exec-2] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
640009 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
643682 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
644313 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
644498 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
644690 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
644866 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
645042 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
645230 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
645385 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
645979 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
646202 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
646428 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
646688 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
646875 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
647085 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
695199 [http-bio-8080-exec-4] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
714217 [http-bio-8080-exec-8] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
759162 [http-bio-8080-exec-8] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
1251294 [http-bio-8080-exec-8] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
1276807 [http-bio-8080-exec-8] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
1290231 [http-bio-8080-exec-10] INFO  c.a.draw.cache.ParticipantCache - 根据key: 1，获取到参与人员信息 value: Participant [participantId=1, participantName=叶春林, participantNum=1]
512  [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
771  [localhost-startStop-1] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Mon Jan 11 19:23:06 CST 2016]; root of context hierarchy
846  [localhost-startStop-1] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/root-context.xml]
1678 [localhost-startStop-1] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [jdbc.properties]
1689 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2677 [localhost-startStop-1] ERROR o.m.spring.mapper.MapperFactoryBean - Error while adding the mapper 'interface com.asiainfo.draw.persistence.ParticipantMapper' to configuration.
org.apache.ibatis.builder.BuilderException: Error parsing Mapper XML. Cause: java.lang.IllegalArgumentException: Result Maps collection already contains value for com.asiainfo.draw.persistence.ParticipantMapper.BaseResultMap
	at org.apache.ibatis.builder.xml.XMLMapperBuilder.configurationElement(XMLMapperBuilder.java:120) ~[mybatis-3.3.0.jar:3.3.0]
	at org.apache.ibatis.builder.xml.XMLMapperBuilder.parse(XMLMapperBuilder.java:92) ~[mybatis-3.3.0.jar:3.3.0]
	at org.apache.ibatis.builder.annotation.MapperAnnotationBuilder.loadXmlResource(MapperAnnotationBuilder.java:167) ~[mybatis-3.3.0.jar:3.3.0]
	at org.apache.ibatis.builder.annotation.MapperAnnotationBuilder.parse(MapperAnnotationBuilder.java:118) ~[mybatis-3.3.0.jar:3.3.0]
	at org.apache.ibatis.binding.MapperRegistry.addMapper(MapperRegistry.java:72) ~[mybatis-3.3.0.jar:3.3.0]
	at org.apache.ibatis.session.Configuration.addMapper(Configuration.java:671) ~[mybatis-3.3.0.jar:3.3.0]
	at org.mybatis.spring.mapper.MapperFactoryBean.checkDaoConfig(MapperFactoryBean.java:81) ~[mybatis-spring-1.2.3.jar:1.2.3]
	at org.springframework.dao.support.DaoSupport.afterPropertiesSet(DaoSupport.java:44) [spring-tx-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeInitMethods(AbstractAutowireCapableBeanFactory.java:1637) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1574) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:545) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:482) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractBeanFactory$1.getObject(AbstractBeanFactory.java:305) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:230) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:301) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractBeanFactory.getTypeForFactoryBean(AbstractBeanFactory.java:1468) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.getTypeForFactoryBean(AbstractAutowireCapableBeanFactory.java:808) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractBeanFactory.isTypeMatch(AbstractBeanFactory.java:543) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBeanNamesForType(DefaultListableBeanFactory.java:447) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.getBeanNamesForType(DefaultListableBeanFactory.java:423) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.BeanFactoryUtils.beanNamesForTypeIncludingAncestors(BeanFactoryUtils.java:220) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.findAutowireCandidates(DefaultListableBeanFactory.java:1177) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.doResolveDependency(DefaultListableBeanFactory.java:1116) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.resolveDependency(DefaultListableBeanFactory.java:1014) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.autowireByType(AbstractAutowireCapableBeanFactory.java:1292) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.populateBean(AbstractAutowireCapableBeanFactory.java:1199) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:543) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:482) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractBeanFactory$1.getObject(AbstractBeanFactory.java:305) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:230) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:301) [spring-beans-4.2.2.RELEASE.jar:4.2.2.RELEASE]
